QuestionID,Question,Answer,Explanation,Counter
210,"You can manage on-premises Windows server as an Azure resource by using [...].
A. Azure Ad Connect
B. Azure Arc
C. an Azure Pipelines agent
D. Azure VPN Gateway",B,"Azure Arc simplifies governance and management by delivering a consistent multi-cloud and on-premises management platform.
Azure Arc provides a centralized, unified way to:
Manage your entire environment together by projecting your existing non-Azure and/or on-premises resources into Azure Resource Manager.
Manage virtual machines, Kubernetes clusters, and databases as if they are running in Azure.
Etc.
Incorrect:
* Why use Azure AD Connect?
Integrating your on-premises directories with Azure AD makes your users more productive by providing a common identity for accessing both cloud and on- premises resources. Users and organizations can take advantage of:
Users can use a single identity to access on-premises applications and cloud services such as Microsoft 365.
Single tool to provide an easy deployment experience for synchronization and sign-in.
Provides the newest capabilities for your scenarios. Azure AD Connect replaces older versions of identity integration tools such as DirSync and Azure AD Sync.
* VPN Gateway sends encrypted traffic between an Azure virtual network and an on-premises location over the public Internet. You can also use VPN Gateway to send encrypted traffic between Azure virtual networks over the Microsoft network. A VPN gateway is a specific type of virtual network gateway.
* Pipeline agent is machine where your build is performed. An agent is installable software that runs one job at a time. Agent job is a set of steps which is recognized as execution boundary. Each job runs on an agent. All of the steps run together on the same agent.",0
211,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- You can only manage cloud services from Windows devices. (Y/N)
- You can manage cloud services from the command line. (Y/N)
- You can manage cloud services by using a web browser. (Y/N)",NYY,"Box 1: No -
Easily manage your Azure storage accounts in the cloud, from Windows, macOS, or Linux, using Azure Storage Explorer.

Box 2: Yes -
Azure cloud services can be managed in Azure Automation by using the PowerShell cmdlets that are available in the Azure PowerShell tools.

Box 3: Yes -",0
212,"[…] is an Apache Spark-based analytics service.
A. Azure Databricks
B. Azure Data Factory
C. Azure DevOps
D. Azure Synapse Analytics",A,"Azure Databricks is a fast, easy, and collaborative Apache Spark-based big data analytics service designed for data science and data engineering.",0
213,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- Azure Monitor can monitor the performance of on-premises computers. (Y/N)
- Azure Monitor can send alerts to Azure Active Directory security groups. (Y/N)
- Azure Monitor can trigger alerts based on data in an Azure Log Analytics workspace. (Y/N)",YYY,"Box 1: Yes -
Azure Monitor maximizes the availability and performance of your applications and services by delivering a comprehensive solution for collecting, analyzing, and acting on telemetry from your cloud and on-premises environments.

Box 2: Yes -
Alerts in Azure Monitor proactively notify you of critical conditions and potentially attempt to take corrective action.

Box 3: Yes -
Azure Monitor uses Target Resource, which is the scope and signals available for alerting. A target can be any Azure resource. Example targets: a virtual machine, a storage account, a virtual machine scale set, a Log Analytics workspace, or an Application Insights resource.",0
214,"Which Azure service provides a set of version control tools to manage code?
A. Azure Repos
B. Azure DevTest Labs
C. Azure Storage
D. Azure Cosmos DB",A,"Azure Repos is a set of version control tools that you can use to manage your code.
Incorrect Answers:
B: Azure DevTest Labs creates labs consisting of pre-configured bases or Azure Resource Manager templates. These have all the necessary tools and software that you can use to create environments.
D: Azure Cosmos DB is Microsoft's globally distributed, multi-model database service.",0
215,"You need to manage Azure by using Azure Cloud Shell.
Which Azure portal icon should you select?
A. >>_
B. >_
C. <_
D. ><_",B,"You can access Azure Cloud Shell in the Azure portal by clicking the icon.
Azure Cloud Shell is an interactive, authenticated, browser-accessible shell for managing Azure resources. It provides the flexibility of choosing the shell experience that best suits the way you work, either Bash or PowerShell.
Cloud Shell enables access to a browser-based command-line experience built with Azure management tasks in mind.",0
216,"You have a virtual machine named VM1 that runs Windows Server 2016. VM1 is in the East US Azure region.
Which Azure service should you use from the Azure portal to view service failure notifications that can affect the availability of VM1?
A. Azure Service Fabric
B. Azure Monitor
C. Azure virtual machines
D. Azure Advisor",B,"Azure Virtual Machines (VMs) are primarily used for creating and hosting virtualized instances of Windows or Linux operating systems. They provide the infrastructure for running applications, services, and workloads in the Azure cloud. When you use Azure VMs, you are essentially provisioning and managing virtualized compute resources.
On the other hand, Azure Monitor is the Azure service focused on monitoring and managing the performance and health of your Azure resources, including Azure VMs. Azure Monitor provides various tools and features for collecting and analyzing telemetry data, setting up alerts, and gaining insights into the performance of your applications and infrastructure.",0
217,"Your Azure environment contains multiple Azure virtual machines.
You need to ensure that a virtual machine named VM1 is accessible from the Internet over HTTP.
Solution: You modify an Azure Traffic Manager profile.
Does this meet the goal?
A. Yes
B. No",B,"Azure Traffic Manager is a DNS-based load balancing solution. It is not used to ensure that a virtual machine named VM1 is accessible from the Internet over
HTTP.
To ensure that a virtual machine named VM1 is accessible from the Internet over HTTP, you need to modify a network security group or Azure Firewall.
In this question, we need to add a rule to a network security group or Azure Firewall to allow the connection to the virtual machine on port 80 (HTTP).",0
218,"Your company plans to deploy several web servers and several database servers to Azure.
You need to recommend an Azure solution to limit the types of connections from the web servers to the database servers.
What should you include in the recommendation?
A. network security groups (NSGs)
B. Azure Service Bus
C. a local network gateway
D. a route filter",A,"A network security group works like a firewall. You can attach a network security group to a virtual network and/or individual subnets within the virtual network.
You can also attach a network security group to a network interface assigned to a virtual machine. You can use multiple network security groups within a virtual network to restrict traffic between resources such as virtual machines and subnets.
You can filter network traffic to and from Azure resources in an Azure virtual network with a network security group. A network security group contains security rules that allow or deny inbound network traffic to, or outbound network traffic from, several types of Azure resources.",0
219,"[…] you can view which user turned off a specific VM during the last 14 days.
A. Azure Access Control IAM
B. Azure Event Hub
C. Azure Activity Log
D. Azure Service Health",C,"You would use the Azure Activity Log, not Access Control to view which user turned off a specific virtual machine during the last 14 days.
Activity logs are kept for 90 days. You can query for any range of dates, as long as the starting date isn't more than 90 days in the past.
In this question, we would create a filter to display shutdown operations on the virtual machine in the last 14 days.",0
220,"Which service provides network traffic filtering across multiple Azure subscriptions and virtual networks?
A. Azure Firewall
B. an application security group
C. Azure DDoS protection
D. a network security group (NSG)",A,"You can restrict traffic to multiple virtual networks in multiple subscriptions with a single Azure firewall.
Azure Firewall is a managed, cloud-based network security service that protects your Azure Virtual Network resources. It's a fully stateful firewall as a service with built-in high availability and unrestricted cloud scalability.
You can centrally create, enforce, and log application and network connectivity policies across subscriptions and virtual networks. Azure Firewall uses a static public IP address for your virtual network resources allowing outside firewalls to identify traffic originating from your virtual network.
References:",0
221,"Which Azure service should you use to store certificates?
A. Azure Security Center
B. an Azure Storage account
C. Azure Key Vault
D. Azure Information Protection",C,"Azure Key Vault is a secure store for storage various types of sensitive information including passwords and certificates.
Azure Key Vault can be used to Securely store and tightly control access to tokens, passwords, certificates, API keys, and other secrets.
Secrets and keys are safeguarded by Azure, using industry-standard algorithms, key lengths, and hardware security modules (HSMs). The HSMs used are
Federal Information Processing Standards (FIPS) 140-2 Level 2 validated.
Access to a key vault requires proper authentication and authorization before a caller (user or application) can get access. Authentication establishes the identity of the caller, while authorization determines the operations that they are allowed to perform.",0
222,"Which Azure service can you use as a security information and event management (SIEM) solution?
A. Azure Analysis Services
B. Azure Sentinel
C. Azure Information Protection
D. Azure Cognitive Services",B,"Can be remembered as ""SIEMtinel"" ;)",0
223,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- Azure Sentinel stores collected events in an Azure Storage account. (Y/N)
- Azure Sentinel can remediate incidents automatically. (Y/N)
- Azure Sentinel can collect Windows Defender Firewall logs from Azure virtual machines. (Y/N)",YYY,"Yes, Azure Sentinel can store collected events in an Azure Storage account. Azure Sentinel is a cloud-native security information and event management (SIEM) solution provided by Microsoft. It enables organizations to collect, analyze, and respond to security events and incidents across their environment.
Azure Sentinel can ingest data from various sources, including logs and events from Azure services, on-premises infrastructure, and third-party systems. The collected events can be stored in an Azure Storage account, which provides a scalable and durable storage solution for the data. This allows organizations to retain and analyze security event data over a longer period of time, as required by their compliance or investigative needs.",0
224,"A. Azure Active Directory (Azure AD)
B. Azure Key Vault
C. Azure Lighthouse
D. Azure Security Center
E. Azure Sentinel
1. Analyse security log from Azure VM
2. Display the secure score for an Azure Subscription
3. Store passwords for use by Azure Function applications",E1D2B3,"Box 1: Azure Sentinel -

Box 2: Azure Security Center -

Box 3: Azure Key Vault -
- Azure Active Directory (Azure AD)
Azure AD is an identity and access management service, which helps your employees sign in and access resources
- Azure Lighthouse
Azure Lighthouse is used for cross- and multi-tenant management.",0
225,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- Azure Firewall will encrypt all the network traffic sent from Azure to the Internet. (Y/N)
- A network security group (NSG) will encrypt all the network traffic sent from Azure to the Internet. (Y/N)
- Azure virtual machines that run Windows Server 2016 can encrypt network traffic sent to the Internet. (Y/N)",NNN,"Box 1: No -
Azure firewall does not encrypt network traffic. It is used to block or allow traffic based on source/destination IP address, source/destination ports and protocol.

Box 2: No -
A network security group does not encrypt network traffic. It works in a similar way to a firewall in that it is used to block or allow traffic based on source/ destination IP address, source/destination ports and protocol.

Box 3: No -
The question is rather vague as it would depend on the configuration of the host on the Internet. Windows Server does come with a VPN client and it also supports other encryption methods such IPSec encryption or SSL/TLS so it could encrypt the traffic if the Internet host was configured to require or accept the encryption.
However, the VM could not encrypt the traffic to an Internet host that is not configured to require the encryption.",0
226,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- Azure Security Center can monitor Azure resources and on-premises resources. (Y/N)
- All Azure Security Center features are free. (Y/N)
- From Azure Security Center, you can download a Regulatory Compliance report. (Y/N)",YNY,"Box 1: Yes -
Azure Security Center is a unified infrastructure security management system that strengthens the security posture of your data centers, and provides advanced threat protection across your hybrid workloads in the cloud - whether they're in Azure or not - as well as on premises.

Box 2: No -
Only two features: Continuous assessment and security recommendations, and Azure secure score, are free.

Box 3: Yes -
The advanced monitoring capabilities in Security Center also let you track and manage compliance and governance over time. The overall compliance provides you with a measure of how much your subscriptions are compliant with policies associated with your workload.",0
227,"Layers :
A. Perimeter
B. Application
C. Physical Security

[…]
Identity and Access
[…]
Network
Compute
[…]
Data",CAB,"* Data
- In almost all cases attackers are after data.
- Data can be in database, stored on disk inside VMs, on a SaaS application such as Office 365 or in cloud storage.
- Those storing and controlling access to data to ensures that it's properly secured
- Often regulatory requirements dictates controls & processes
- to ensure confidentiality, integrity, and availability.

* Application
- Ensure applications are secure and free of vulnerabilities.
- Store sensitive application secrets in a secure storage medium.
- Make security a design requirement for all application development.
- Integrate security into the application development life cycle.

* Compute
- Secure access to virtual machines.
- Implement endpoint protection and keep systems patched and current.
- Malware, unpatched systems, and improperly secured systems open your environment to attacks.

* Networking
- Limit communication between resources.
- Deny by default.
- Allow only what is required
- Restrict inbound internet access and limit outbound, where appropriate.
- Implement secure connectivity to on-premises networks.

* Perimeter
- Use distributed denial of service (DDoS) protection to filter large-scale attacks before they can cause a denial of service for end users.
- Use perimeter firewalls to identify and alert on malicious attacks against your network

* Identity and access
- Control access to infrastructure and change control.
- Access granted is only what is needed
- Use single sign-on and multi-factor authentication.
- Audit events and changes.

* Physical security
- Building security & controlling access to computing hardware.
- First line of defense.",0
228,"You have an Azure virtual machine named VM1.
You plan to encrypt VM1 by using Azure Disk Encryption.
Which Azure resource must you create first?
A. an Azure Storage account
B. an Azure Key Vault
C. an Azure Information Protection policy
D. an Encryption key",B,"Azure Disk Encryption requires an Azure Key Vault to control and manage disk encryption keys and secrets.

Azure Disk Encryption uses Azure Key Vault to manage the disk encryption keys and secrets. You must create an Azure Key Vault before you can encrypt an Azure virtual machine using Azure Disk Encryption. The Key Vault is used to store the encryption keys and secrets, and it provides a central location for managing and securing these keys. Once you have created the Key Vault, you can then enable disk encryption on the virtual machine and specify the Key Vault as the location for the encryption keys.",0
229,"Which resources can be used as a source for a Network security group inbound security rule?
A. Service Tags only
B. IP Addresses, Service tags and Application security groups
C. Application security groups only
D. IP Addresses only",B,"Any, or an individual IP address, classless inter-domain routing (CIDR) block (10.0.0.0/24, for example), service tag, or application security group.",0
230,"Azure Sentinel uses playbooks to […].
A. automatically respond to threats.
B. collect data from Azure services.
C. specify how long data is retained.
D. store passwords and certificates.",A,"A playbook is a collection of these remediation actions that can be run from Microsoft Sentinel as a routine. A playbook can help automate and orchestrate your threat response; it can be run manually on-demand on entities (in preview - see below) and alerts, or set to run automatically in response to specific alerts or incidents, when triggered by an automation rule.

For example, if an account and machine are compromised, a playbook can isolate the machine from the network and block the account by the time the SOC team is notified of the incident.",0
231,"[…] in Azure Firewall enables users on the internet to access a server on a virtual network.
A. Application rules
B. Network Address Translation (NAT) rules
C. Network rules
D. Service tags",B,"Azure Virtual Network NAT is a network address translation service running in Azure. With Azure Virtual Network NAT, you can provide secure outbound connectivity to virtual instances in a private subnet so they can connect outside your virtual network.",0
232,"Azure distributed denial of service (DDoS) protection is an example of protection that is implemented at the […].
A. application layer.
B. compute layer.
C. networking layer.
D. perimeter layer.",D,"Use DDoS protection to filter large-scale attacks before they can affect the availability of a system for users.
Use perimeter firewalls to identify and alert on malicious attacks against your network.
At the network perimeter, it's about protecting from network-based attacks against your resources. Identifying these attacks, eliminating their impact, and alerting you when they happen are important ways to keep your network secure.",0
233,"You have an Azure Sentinel workspace.
You need to automate responses to threats detected by Azure Sentinel.
What should you use?
A. adaptive network hardening in Azure Security Center
B. Azure Service Health
C. Azure Monitor workbooks
D. adaptive application controls in Azure Security Center",C,"Once you have connected your data sources to Microsoft Sentinel, you can visualize and monitor the data using the Microsoft Sentinel adoption of Azure Monitor Workbooks, which provides versatility in creating custom dashboards. While the Workbooks are displayed differently in Microsoft Sentinel, it may be useful for you to see how to create interactive reports with Azure Monitor Workbooks. Microsoft Sentinel allows you to create custom workbooks across your data, and also comes with built-in workbook templates to allow you to quickly gain insights across your data as soon as you connect a data source.",0
234,"A. Azure Active Directory (Azure AD)
B. Azure Key Vault
C. Azure Lighthouse
D. Microsoft Defender for Cloud
E. Microsoft Sentinel
1. Provide security information event management (SIEM) functionnality 
2. Display the secure score for an Azure subsciption
3. Store passwords for use by Azure Function applications",E1D2B3,"Box 1: Microsoft Sentinel -
Microsoft Sentinel is a scalable, cloud-native, security information and event management (SIEM) and security orchestration, automation, and response (SOAR) solution. Microsoft Sentinel delivers intelligent security analytics and threat intelligence across the enterprise, providing a single solution for attack detection, threat visibility, proactive hunting, and threat response.

Box 2: Microsoft Defender for Cloud
You can find your overall secure score, as well as your score per subscription, through the Azure portal. Defender for Cloud displays your secure score prominently in the portal.

Box 3: Azure Key Vault -
A favored approach to store the credentials or keys in the Azure Key Vault as secrets and reference the secrets as environment variables in our Azure functions apps.",0
235,"Which Azure service can you use as a security information and event management (SIEM) solution?
A. Azure Analysis Services
B. Microsoft Sentinel
C. Azure Information Protection
D. Azure Cognitive Services",B,"Can be remembered as ""SIEMtinel"" ;)",0
236,"An Azure Policy initiative definition is a […].
A. collection of policy definitions.
B. collection of Azure Policy definition assignments.
C. group of Azure Blueprints definitions.
D. group of role-based access control (RBAC) role assignments.",A,An initiative definition is a collection of policy definitions that are grouped towards achieving a singular overarching goal. Initiative definitions simplify managing and assigning policy definitions by grouping them as a single assignable object,0
237,"You have an Azure subscription.
You need to review your secure score.
What should you use?
A. Azure Monitor
B. Azure Advisor
C. Help + support
D. Microsoft Defender for Cloud",D,The central feature in Defender for Cloud that enables you to achieve those goals is secure score.,0
238,"You can enable just in time (JIT) VM access by using […].
A. Azure Bastion
B. Azure Firewall
C. Azure Front Door
D. Microsoft Defender for Cloud",D,The central feature in Defender for Cloud that enables you to achieve those goals is secure score.,0
239,"You can view your company's regulatory compliance report from […]
A. Azure Advisor
B. Azure Analysis Services
C. Azure Monitor
D. Microsoft Defender for Cloud",D,"Microsoft Defender for Cloud helps streamline the process for meeting regulatory compliance requirements, using the regulatory compliance dashboard. Defender for Cloud continuously assesses your hybrid cloud environment to analyze the risk factors according to the controls and best practices in the standards that you've applied to your subscriptions. The dashboard reflects the status of your compliance with these standards.

When you enable Defender for Cloud on an Azure subscription, the Microsoft cloud security benchmark is automatically assigned to that subscription. This widely respected benchmark builds on the controls from the Center for Internet Security (CIS), PCI-DSS and the National Institute of Standards and Technology (NIST) with a focus on cloud-centric security.

The regulatory compliance dashboard shows the status of all the assessments within your environment for your chosen standards and regulations. As you act on the recommendations and reduce risk factors in your environment, your compliance posture improves.",0
240,"You need to collect and automatically analyze security events from Azure Active Directory (Azure AD).
What should you use?
A. Microsoft Sentinel
B. Azure Synapse Analytics
C. Azure AD Connect
D. Azure Key Vault",A,"Microsoft Sentinel is a scalable, cloud-native, security information and event management (SIEM) and security orchestration, automation, and response (SOAR) solution.
Microsoft Sentinel delivers intelligent security analytics and threat intelligence across the enterprise, providing a single solution for attack detection, threat visibility, proactive hunting, and threat response.",0
241," […] enables users to authentificate to multiple applications by using sigle sign-on (SSO).
A. Application security groups in Azure
B. Azure Active Directory (Azure AD)
C. Azure Key Vault
D. Microsoft Defender for Cloud",B,"You can enable single sign-on for an enterprise application through Azure Active Directory (Azure AD.
Incorrect:
Application security groups enable you to configure network security as a natural extension of an application's structure, allowing you to group virtual machines and define network security policies based on those groups.",0
242,"
For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
A network security group (NSG) will block all network traffic by default. (Y/N)
Application security groups can be specified as part of network security group (NSG) rules. (Y/N)
Network security groups (NSGs) always include inbound security rules and outbound security rules. (Y/N)",NYY,"Box 1: No -
Azure creates the default rules in each network security group that you create. These rules allow some traffic.

Box 2: Yes -
A network security group contains zero, or as many rules as desired. These rules can refer to application security groups.

Box 3: Yes -
Azure creates the Inbound and OutBound default rules in each network security group that you create.",0
243,"A. authorization
B. multi-factor authentication (MFA)
C. single sign-on (SSO)
1. The ability to use the same credentials to access multiple resources and applications from different providers.
2. The process of identifying the access level of a user or service.
3. Requires several elements to identify a user or a service.",C1B3A2,"Single sign-on (SSO) enables a user to sign in one time and use that credential to access multiple resources and applications from different providers. For SSO to work, the different applications and providers must trust the initial authenticator.

Multifactor authentication is the process of prompting a user for an extra form (or factor) of identification during the sign-in process. MFA helps protect against a password compromise in situations where the password was compromised but the second factor wasn't.",0
244,"Your company plans to automate the deployment of servers to Azure.
Your manager is concerned that you may expose administrative credentials during the deployment.
You need to recommend an Azure solution that encrypts the administrative credentials during the deployment.
What should you include in the recommendation?
A. Azure Key Vault
B. Azure Information Protection
C. Microsoft Defender for Cloud
D. Azure Multi-Factor Authentication (MFA)",A,"Azure Key Vault protects cryptographic keys, certificates (and the private keys associated with the certificates), and secrets (such as connection strings and passwords) in the cloud.",0
245,"After you create a VM, you need to modify the allow connections to TCP port 8080 on the VM […].
A. network security group (NSG)
B. virtual network gateway
C. virtual network
D. route table",A,"You can use an Azure network security group to filter network traffic to and from Azure resources in an Azure virtual network. A network security group contains security rules that allow or deny inbound network traffic to, or outbound network traffic from, several types of Azure resources. For each rule, you can specify source and destination, port, and protocol.",0
246,"Azure distributed denial of service (DDoS) protection is an example of protection that is implemented at the […].
A. application layer.
B. compute layer.
C. networking layer.
D. perimeter layer.",D,"Use DDoS protection to filter large-scale attacks before they can affect the availability of a system for users.
Use perimeter firewalls to identify and alert on malicious attacks against your network.
At the network perimeter, it's about protecting from network-based attacks against your resources. Identifying these attacks, eliminating their impact, and alerting you when they happen are important ways to keep your network secure.",0
247,"Azure Sentinel uses playbooks to […].
A. automatically respond to threats.
B. collect data from Azure services.
C. specify how long data is retained.
D. store passwords and certificates.",A,"A playbook is a collection of these remediation actions that can be run from Microsoft Sentinel as a routine. A playbook can help automate and orchestrate your threat response; it can be run manually on-demand on entities (in preview - see below) and alerts, or set to run automatically in response to specific alerts or incidents, when triggered by an automation rule.

For example, if an account and machine are compromised, a playbook can isolate the machine from the network and block the account by the time the SOC team is notified of the incident.",0
248,"You need to configure an Azure solution that meets the following requirements:
- Secures websites from attacks
- Generates reports that contain details of attempted attacks
What should you include in the solution?
A. Azure Firewall
B. a network security group (NSG)
C. Azure Information Protection
D. DDoS protection",D,"DDoS is a type of attack that tries to exhaust application resources. The goal is to affect the application's availability and its ability to handle legitimate requests.
DDoS attacks can be targeted at any endpoint that is publicly reachable through the internet.
Azure has two DDoS service offerings that provide protection from network attacks: DDoS Protection Basic and DDoS Protection Standard.
DDoS Basic protection is integrated into the Azure platform by default and at no extra cost.
You have the option of paying for DDoS Standard. It has several advantages over the basic service, including logging, alerting, and telemetry. DDoS Standard can generate reports that contain details of attempted attacks as required in this question.",0
249,"You plan to implement several security services for an Azure environment. You need to identify which Azure services must be used to meet the following security requirements:
- Monitor threats by using sensors
- Enforce Azure Multi-Factor Authentication (MFA) based on a condition
Which Azure service should you identify for each requirement? To answer, select the appropriate options in the answer area.

Monitor threats by using sensors:
A. Azure Monitor
B. Azure Security Center
C. Azure Active Directory (Azure AD) Identity Protection
D. Azure Advanced Threat Protection (ATP)

Enforce Azure MFA based on a condition:
A. Azure Monitor
B. Azure Security Center
C. Azure Active Directory (Azure AD) Identity Protection
D. Azure Advanced Threat Protection (ATP)",DC,"Box 1:
To monitor threats by using sensors, you would use Azure Advanced Threat Protection (ATP).
Azure Advanced Threat Protection (ATP) is a cloud-based security solution that leverages your on-premises Active Directory signals to identify, detect, and investigate advanced threats, compromised identities, and malicious insider actions directed at your organization.
Sensors are software packages you install on your servers to upload information to Azure ATP.
Box 2:
To enforce MFA based on a condition, you would use Azure Active Directory Identity Protection.
Azure AD Identity Protection helps you manage the roll-out of Azure Multi-Factor Authentication (MFA) registration by configuring a Conditional Access policy to require MFA registration no matter what modern authentication app you are signing in to.",0
250,"Your Azure environment contains multiple Azure virtual machines.
You need to ensure that a virtual machine named VM1 is accessible from the Internet over HTTP.
What are two possible solutions? Each correct answer presents a complete solution.
NOTE: Each correct selection is worth one point.
A. Modify an Azure Traffic Manager profile
B. Modify a network security group (NSG)
C. Modify a DDoS protection plan
D. Modify an Azure firewall",BD,"B. Modify a network security group (NSG): An NSG is a fundamental Azure resource that allows or denies network traffic to and from Azure resources, such as virtual machines. By default, incoming traffic to a virtual machine is blocked. To allow incoming HTTP traffic (port 80), you need to create an NSG rule that permits inbound traffic on port 80 for the specific virtual machine (VM1).

D. Modify an Azure firewall: Azure Firewall is a cloud-based network security service that provides stateful firewall capabilities. If you are using Azure Firewall to protect your virtual network, you need to create a rule that allows HTTP traffic (port 80) from the Internet to the specific virtual machine (VM1).",0
251,"You can enable just in time (JIT) VM access by using […].
A. Azure Bastion
B. Azure Firewall
C. Azure Front Door
D. Microsoft Defender for Cloud",D,The central feature in Defender for Cloud that enables you to achieve those goals is secure score.,0
252,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- You can associate a network security group (NSG) to a virtual network subnet. (Y/N)
- You can associate a network security group (NSG) to a virtual network. (Y/N)
- You can associate a network security group (NSG) to a network interface. (Y/N)",YNY,"You can deploy resources from several Azure services into an Azure virtual network. For a complete list, see Services that can be deployed into a virtual network. You can associate zero, or one, network security group to each virtual network subnet and network interface in a virtual machine. The same network security group can be associated to as many subnets and network interfaces as you choose.",0
253,"You have an Azure environment that contains 10 virtual networks and 100 virtual machines.
You need to limit the amount of inbound traffic to all the Azure virtual networks.
What should you create?
A. one application security group (ASG)
B. 10 virtual network gateways
C. 10 Azure ExpressRoute circuits
D. one Azure firewall",D,"You can restrict traffic to multiple virtual networks with a single Azure firewall.
Azure Firewall is a managed, cloud-based network security service that protects your Azure Virtual Network resources. It's a fully stateful firewall as a service with built-in high availability and unrestricted cloud scalability.
You can centrally create, enforce, and log application and network connectivity policies across subscriptions and virtual networks. Azure Firewall uses a static public IP address for your virtual network resources allowing outside firewalls to identify traffic originating from your virtual network.
Both NSG and Firewall can perform this function. I believe the key is in the number of virtual networks involved. You will use an NSG for a single VN and a Firewall for multiple.",0
254,"Azure Key Vault is used to store secrets for Azure Active Directory (Azure AD) user accounts.
Instructions: Review the underlined text. If it makes the statement correct, select `No change is needed`. If the statement is incorrect, select the answer choice that makes the statement correct.
A. No change is needed
B. Azure Active Directory (Azure AD) administrative accounts
C. Personally Identifiable Information (PII)
D. server applications",A,"In Azure, you can use Azure Key Vault to store secrets for Azure Active Directory (Azure AD) user accounts. Azure Key Vault is a cloud-based service that provides a secure location to store and manage cryptographic keys, secrets, and certificates.

To use Azure Key Vault to store secrets for Azure AD user accounts, you can follow these high-level steps:

1. Create an Azure Key Vault instance.
2. Define access policies to control who can access the secrets in the vault.
3. Store the secrets for your Azure AD user accounts in the vault.
4. Integrate Azure Active Directory with Azure Key Vault to enable your applications to access the secrets securely.

By storing secrets for Azure AD user accounts in Azure Key Vault, you can help to ensure that sensitive information is protected and that only authorized users and applications have access to it.",0
255,"Your company plans to automate the deployment of servers to Azure.
Your manager is concerned that you may expose administrative credentials during the deployment.
You need to recommend an Azure solution that encrypts the administrative credentials during the deployment.
What should you include in the recommendation?
A. Azure Key Vault
B. Azure Information Protection
C. Azure Security Center
D. Azure Multi-Factor Authentication (MFA)",A,"Azure Key Vault is a secure store for storage various types of sensitive information. In this question, we would store the administrative credentials in the Key Vault.
With this solution, there is no need to store the administrative credentials as plain text in the deployment scripts.
All information stored in the Key Vault is encrypted.
Azure Key Vault can be used to Securely store and tightly control access to tokens, passwords, certificates, API keys, and other secrets.
Secrets and keys are safeguarded by Azure, using industry-standard algorithms, key lengths, and hardware security modules (HSMs). The HSMs used are
Federal Information Processing Standards (FIPS) 140-2 Level 2 validated.
Access to a key vault requires proper authentication and authorization before a caller (user or application) can get access. Authentication establishes the identity of the caller, while authorization determines the operations that they are allowed to perform.",0
256,"You plan to deploy several Azure virtual machines.
You need to control the ports that devices on the Internet can use to access the virtual machines.
What should you use?
A. a network security group (NSG)
B. an Azure Active Directory (Azure AD) role
C. an Azure Active Directory group
D. an Azure key vault",A,"A network security group works like a firewall. You can attach a network security group to a virtual network and/or individual subnets within the virtual network.
You can also attach a network security group to a network interface assigned to a virtual machine. You can use multiple network security groups within a virtual network to restrict traffic between resources such as virtual machines and subnets.
You can filter network traffic to and from Azure resources in an Azure virtual network with a network security group. A network security group contains security rules that allow or deny inbound network traffic to, or outbound network traffic from, several types of Azure resources.",0
257,"After you create a VM, you need to modify the allow connections to TCP port 8080 on the VM […].
A. network security group (NSG)
B. virtual network gateway
C. virtual network
D. route table",A,"When you create a virtual machine, the default setting is to create a Network Security Group attached to the network interface assigned to a virtual machine.
A network security group works like a firewall. You can attach a network security group to a virtual network and/or individual subnets within the virtual network.
You can also attach a network security group to a network interface assigned to a virtual machine. You can use multiple network security groups within a virtual network to restrict traffic between resources such as virtual machines and subnets.
You can filter network traffic to and from Azure resources in an Azure virtual network with a network security group. A network security group contains security rules that allow or deny inbound network traffic to, or outbound network traffic from, several types of Azure resources.
In this question, we need to add a rule to the network security group to allow the connection to the virtual machine on port 8080.",0
258,"For each of the following statements, select Yes if the statement is true. 
Otherwise, select No.
- You can create custom Azure roles to control access to resources. (Y/N)
- A user account can be assigned to multiple Azure roles. (Y/N)
- A resource group can have the Owner role assigned to multiple users. (Y/N)",YYY,"Yes, in Azure, a resource group can have the Owner role assigned to multiple users. The Owner role is a built-in role in Azure that provides full access to all resources in a resource group, including the ability to create, modify, and delete resources.

When you assign the Owner role to a user or group, it grants them full access to all resources within the resource group. Multiple users or groups can be assigned the Owner role for a resource group, which allows for collaboration and delegation of responsibilities among different teams or individuals.

It's important to note that assigning the Owner role to multiple users or groups can increase the risk of accidental or intentional changes to resources within the resource group. Therefore, it's recommended to carefully consider the access needs of each user or group and assign roles accordingly to minimize the risk of unauthorized access or accidental changes.",0
